ā bà	阿壩
hè gǎng shì lín yè jú shēng huó qū	鶴崗市林業局生活區
hé mù hā nà sī měng gǔ zú xiāng	禾木哈納斯蒙古族鄉
hé shuò xiàn mǎ lán gōng ān guǎn qū	和碩縣馬蘭公安管區
hé tián shì jīng hé wù liú yuán qū	和田市京和物流園區
hé zé gāo xīn jì shù kāi fā qū	菏澤高新技術開發區
hé zé jīng jì jì shù kāi fā qū	菏澤經濟技術開發區
hēi lóng jiāng shěng qí qí hā ěr shì	黑龍江省齊齊哈爾市
hēi lóng jiāng shěng shuāng yā shān jiān yù	黑龍江省雙鴨山監獄
hóng zuǐ gāo xīn jì shù kāi fā qū	紅嘴高新技術開發區
hū hé hào tè shì qīng shuǐ hé xiàn	呼和浩特市清水河縣
hū hé hào tè shì tuō kè tuō xiàn	呼和浩特市托克托縣
hū hé hào tè zōng hé bǎo shuì qū	呼和浩特綜合保稅區
hū jí ěr tè měng gǔ mín zú xiāng	呼吉爾特蒙古民族鄉
hú jiā wān miáo zú tǔ jiā zú xiāng	胡家灣苗族土家族鄉
hū lún bèi ěr shì hǎi lā ěr qū	呼倫貝爾市海拉爾區
hū lún bèi ěr shì mǎn zhōu lǐ shì	呼倫貝爾市滿洲里市
hū lún bèi ěr shì yá kè shí shì	呼倫貝爾市牙克石市
hū lún bèi ěr shì zhā lán tún shì	呼倫貝爾市扎蘭屯市
huà nán lín yè jú lán fēng lín chǎng	樺南林業局嵐峰林場
huái ān jīng jì jì shù kāi fā qū	淮安經濟技術開發區
huáng huá jīng jì jì shù kāi fā qū	黃驊經濟技術開發區
huáng ní yí zú miáo zú mǎn zú xiāng	黃泥彝族苗族滿族鄉
huì chāng xiàn yàn zi wō gōng yè yuán	會昌縣燕子窩工業園
huì nán gāo xīn kē jì chǎn yè yuán	惠南高新科技產業園
huī zhōu qū zhí xiá cūn jí qū huà	徽州區直轄村級區劃
huò jí ěr tè měng gǔ mín zú xiāng	霍吉爾特蒙古民族鄉
jí yáng qū zhí xiá cūn jí qū huà	吉陽區直轄村級區劃
jiāng níng gāo xīn jì shù chǎn yè yuán	江寧高新技術產業園
jiāng sū shēng mìng kē jì chuàng xīn yuán	江蘇生命科技創新園
jiāo zhōu jīng jì jì shù kāi fā qū	膠州經濟技術開發區
jīn pō miáo zú yí zú mǎn zú xiāng	金坡苗族彝族滿族鄉
jīn qiáo jīng jì jì shù kāi fā qū	金橋經濟技術開發區
jǐng gǔ dǎi zú yí zú zì zhì xiàn	景谷傣族彝族自治縣
jīng jì kāi fā qū zhí shǔ xiāng zhèn	經濟開發區直屬鄉鎮
jīng jīn gāo cūn kē jì chuàng xīn yuán	京津高村科技創新園
jīng zhōu jīng jì jì shù kāi fā qū	荊州經濟技術開發區
jìng zhōu miáo zú dòng zú zì zhì xiàn	靖州苗族侗族自治縣
jiǔ quán jīng jì jì shù kāi fā qū	酒泉經濟技術開發區
jiù yíng bái zú yí zú miáo zú xiāng	舊營白族彝族苗族鄉
kāi fā qū é méi dà jiē jiē dào	開發區峨嵋大街街道
kāi fā qū lèi sì xiāng jí dān wèi	開發區類似鄉級單位
kāi fā qū shāng sòng dà jiē jiē dào	開發區商頌大街街道
kāi fā qū yín xìng dà jiē jiē dào	開發區銀杏大街街道
kè lā mǎ yī shì bái jiǎn tān qū	克拉瑪依市白鹼灘區
kè lā mǎ yī shì dú shān zǐ qū	克拉瑪依市獨山子區
kè lā mǎ yī shì wū ěr hé qū	克拉瑪依市烏爾禾區
kù chē jīng jì jì shù kāi fā qū	庫車經濟技術開發區
kūn míng jīng jì jì shù kāi fā qū	昆明經濟技術開發區
kūn zhài miáo zú yí zú bái zú xiāng	昆寨苗族彝族白族鄉
lā sà jīng jì jì shù kāi fā qū	拉薩經濟技術開發區
láng fāng jīng jì jì shù kāi fā qū	廊坊經濟技術開發區
lián shān zhuàng zú yáo zú zì zhì xiàn	連山壯族瑤族自治縣
lián yún jīng jì jì shù kāi fā qū	連雲經濟技術開發區
liáo níng zì mào qū yíng kǒu piàn qū	遼寧自貿區營口片區
lǐng xià xī guó yǒu fáng hù lín chǎng	嶺下溪國有防護林場
liù lóng shān dòng zú tǔ jiā zú xiāng	六龍山侗族土家族鄉
liǔ shù tún měng gǔ zú mǎn zú xiāng	柳樹屯蒙古族滿族鄉
lóng chǎng miáo zú bái zú yí zú xiāng	龍場苗族白族彝族鄉
lóng gǎng xiàn zhí xiá cūn jí qū huà	龍港縣直轄村級區劃
lǔ bù gé bù yī zú miáo zú xiāng	魯布革布依族苗族鄉
lù chéng jīng jì jì shù kāi fā qū	潞城經濟技術開發區
lù quàn yí zú miáo zú zì zhì xiàn	祿勸彝族苗族自治縣
luò hé jīng jì jì shù kāi fā qū	漯河經濟技術開發區
mǎn zhōu lǐ shì hù shì mào yì qū	滿洲里市互市貿易區
mǎn zhōu lǐ shì jīng jì hé zuò qū	滿洲里市經濟合作區
máng hóng lā hù zú bù lǎng zú xiāng	芒洪拉祜族布朗族鄉
máo lán gōu mǎn zú měng gǔ zú xiāng	茅蘭溝滿族蒙古族鄉
miào zi gōu měng gǔ zú mǎn zú xiāng	廟子溝蒙古族滿族鄉
mín hé huí zú tǔ zú zì zhì xiàn	民和回族土族自治縣
mù lán shān fēng jǐng qū guǎn lǐ chù	木蘭山風景區管理處
mù lǎo yuán bù lǎng zú yí zú xiāng	木老元布朗族彝族鄉
nán jīng jīng jì jì shù kāi fā qū	南京經濟技術開發區
nán jīng zǐ dōng guó jì chuàng yì yuán	南京紫東國際創意園
nán tōng jīng jì jì shù kāi fā qū	南通經濟技術開發區
nán tōng shì hǎi mén qū nóng kē suǒ	南通市海門區農科所
nán tōng shì hǎi mén qū zhǒng yáng chǎng	南通市海門區種羊場
nán tōng sū tōng kē jì chǎn yè yuán	南通蘇通科技產業園
nán yáng gāo xīn qū zhāng héng jiē dào	南陽高新區張衡街道
nèi méng gǔ hé lín gé ěr xīn qū	內蒙古和林格爾新區
nèi méng gǔ zì zhì qū bāo tóu shì	內蒙古自治區包頭市
nèi méng gǔ zì zhì qū chì fēng shì	內蒙古自治區赤峰市
nèi méng gǔ zì zhì qū tōng liáo shì	內蒙古自治區通遼市
nèi méng gǔ zì zhì qū wū hǎi shì	內蒙古自治區烏海市
nèi méng gǔ zì zhì qū xīng ān méng	內蒙古自治區興安盟
niú hé lín yè kāi fā guǎn lǐ qū	牛河林業開發管理區
píng dì chǎng gē lǎo zú dòng zú xiāng	坪地場仡佬族侗族鄉
píng shùn jīng jì jì shù kāi fā qū	平順經濟技術開發區
pǔ dǐ yí zú miáo zú bái zú xiāng	普底彝族苗族白族鄉
pǔ níng chǎn yè zhuǎn yí gōng yè yuán	普寧產業轉移工業園
pú yáng jīng jì jì shù kāi fā qū	濮陽經濟技術開發區
qǐ dōng hǎi gōng chuán bó gōng yè yuán	啟東海工船舶工業園
qǐ dōng shēng mìng jiàn kāng chǎn yè yuán	啟東生命健康產業園
qǐ dōng shēng mìng jiàn kāng kē jì yuán	啟東生命健康科技園
qǐ lóng shēng tài kē jì chǎn yè yuán	啓隆生態科技產業園
qí qí hā ěr shì áng áng xī qū	齊齊哈爾市昂昂溪區
qí qí hā ěr shì niǎn zǐ shān qū	齊齊哈爾市碾子山區
qiān xī yí zú miáo zú bái zú xiāng	千溪彝族苗族白族鄉
qìn yuán jīng jì jì shù kāi fā qū	沁源經濟技術開發區
qīng lín huí zú wéi wú ěr zú xiāng	青林回族維吾爾族鄉
qīng yuǎn shì guó yíng yín zhǎn lín chǎng	清遠市國營銀盞林場
qióng zhōng lí zú miáo zú zì zhì xiàn	瓊中黎族苗族自治縣
rén mín dà yuàn nóng chǎng guǎn lǐ qū	人民大垸農場管理區
rì zhào jīng jì jì shù kāi fā qū	日照經濟技術開發區
sà mǎ jiē è wēn kè mín zú xiāng	薩馬街鄂溫克民族鄉
sān dào shuǐ tǔ jiā zú miáo zú xiāng	三道水土家族苗族鄉
sān yuán yí zú miáo zú bái zú xiāng	三元彝族苗族白族鄉
shā jīn tái měng gǔ zú mǎn zú xiāng	沙金臺蒙古族滿族鄉
shǎn xī shěng tài bái shān lǚ yóu qū	陝西省太白山旅遊區
shàng dǎng jīng jì jì shù kāi fā qū	上黨經濟技術開發區
shàng hǎi sōng jiāng chū kǒu jiā gōng qū	上海松江出口加工區
shàng yóu shuǐ kù gōng chéng guǎn lǐ jú	上游水庫工程管理局
shēn zhèn píng shān zōng hé bǎo shuì qū	深圳坪山綜合保稅區
shēn zhèn shì bǎo ān guó jì jī chǎng	深圳市寶安國際機場
shēn zhèn yán tián zōng hé bǎo shuì qū	深圳鹽田綜合保稅區
shí jiā zhuāng xún huán huà gōng yuán qū	石家莊循環化工園區
shí tī zi hā sà kè mín zú xiāng	石梯子哈薩克民族鄉
sì píng shì tiě dōng qū chéng dōng xiāng	四平市鐵東區城東鄉
sì píng shì tiě dōng qū shān mén zhèn	四平市鐵東區山門鎮
sì píng shì tiě dōng qū shí lǐng zhèn	四平市鐵東區石嶺鎮
sù qiān jīng jì jì shù kāi fā qū	宿遷經濟技術開發區
sù zhōu jīng jì jì shù kāi fā qū	宿州經濟技術開發區
suō jiá miáo zú yí zú huí zú xiāng	梭戛苗族彝族回族鄉
tiān jīn jīng jì jì shù kāi fā qū	天津經濟技術開發區
tiān jīn wǔ qīng qì chē chǎn yè yuán	天津武清汽車產業園
tiān yá qū zhí xiá cūn jí qū huà	天涯區直轄村級區劃
tiě lǐng jīng jì jì shù kāi fā qū	鐵嶺經濟技術開發區
tōng liáo jīng jì jì shù kāi fā qū	通遼經濟技術開發區
tōng liáo shì guó yǒu shèng lì nóng chǎng	通遼市國有勝利農場
tóng líng jīng jì jì shù kāi fā qū	銅陵經濟技術開發區
tǔ chéng zǐ mǎn zú cháo xiǎn zú xiāng	土城子滿族朝鮮族鄉
tú mù shū kè shì tú mù shū kè	圖木舒克市圖木舒克
tún liú jīng jì jì shù kāi fā qū	屯留經濟技術開發區
wàn fú jīng jì jì shù kāi fā qū	萬福經濟技術開發區
wēi hǎi jīng jì jì shù kāi fā qū	威海經濟技術開發區
wēi shān yí zú huí zú zì zhì xiàn	巍山彝族回族自治縣
wén shān zhuàng zú miáo zú zì zhì zhōu	文山壯族苗族自治州
wú hú jīng jì jì shù kāi fā qū	蕪湖經濟技術開發區
wú jiāng jīng jì jì shù kāi fā qū	吳江經濟技術開發區
wù lā gài guǎn lǐ qū guǎn wěi huì	烏拉蓋管理區管委會
wù lā tái hā sà kè mín zú xiāng	烏拉臺哈薩克民族鄉
wū lán chá bù shì sì zǐ wáng qí	烏蘭察布市四子王旗
wū lán hào tè lǜ sè chǎn yè yuán	烏蘭浩特綠色產業園
wū lǔ mù qí shì dá bǎn chéng qū	烏魯木齊市達坂城區
wū lǔ mù qí shì shuǐ mó gōu qū	烏魯木齊市水磨溝區
wū lǔ mù qí shì tóu tún hé qū	烏魯木齊市頭屯河區
wū lǔ mù qí zhàn piàn qū jiē dào	烏魯木齊站片區街道
wú qiáo jīng jì jì shù kāi fā qū	吳橋經濟技術開發區
wǔ qīng jīng jì jì shù kāi fā qū	武清經濟技術開發區
wū shí tǎ lā huí zú mín zú xiāng	烏什塔拉回族民族鄉
wú xī tài hú guó jì kē jì yuán	無錫太湖國際科技園
wǔ xiāng jīng jì jì shù kāi fā qū	武鄉經濟技術開發區
xī ā chāo mǎn zú měng gǔ zú xiāng	西阿超滿族蒙古族鄉
xī dìng hā ní zú bù lǎng zú xiāng	西定哈尼族布朗族鄉
xī guān tún měng gǔ zú mǎn zú xiāng	西關屯蒙古族滿族鄉
xī lín guō lè méng ā bā gā qí	錫林郭勒盟阿巴嘎旗
xī lín guō lè méng èr lián hào tè	錫林郭勒盟二連浩特
xī lín guō lè méng tài pú sì qí	錫林郭勒盟太僕寺旗
xī lín guō lè méng xī lín hào tè	錫林郭勒盟錫林浩特
xī lín guō lè méng zhèng xiāng bái qí	錫林郭勒盟正鑲白旗
xī shān sēn lín gōng yuán guǎn lǐ chù	錫山森林公園管理處
xī shān tái wān nóng mín chuàng yè yuán	錫山臺灣農民創業園
xī shuāng bǎn nà dǎi zú zì zhì zhōu	西雙版納傣族自治州
xī zàng zì zhì qū ā lǐ dì qū	西藏自治區阿里地區
xī zàng zì zhì qū rì kā zé shì	西藏自治區日喀則市
xiāng gǎng tè bié xíng zhèng qū běi qū	香港特別行政區北區
xiāng gǎng tè bié xíng zhèng qū dōng qū	香港特別行政區東區
xiāng gǎng tè bié xíng zhèng qū nán qū	香港特別行政區南區
xiāng hé xīn xīng chǎn yè shì fàn qū	香河新興產業示範區
xiàng yáng qū zhí xiá cūn jí qū huà	向陽區直轄村級區劃
xiāng yuán jīng jì jì shù kāi fā qū	襄垣經濟技術開發區
xiāo shān jīng jì jì shù kāi fā qū	蕭山經濟技術開發區
xīn gǎng jīng jì kāi fā guǎn lǐ chù	新港經濟開發管理處
xīn huà miáo zú yí zú mǎn zú xiāng	新化苗族彝族滿族鄉
xīn jiē kǒu shāng wù shāng mào jiē qū	新街口商務商貿街區
xīn píng yí zú dǎi zú zì zhì xiàn	新平彝族傣族自治縣
xīn qū fú wù guǎn lǐ bàn gōng shì	新區服務管理辦公室
xīn xiāng jīng jì jì shù kāi fā qū	新鄉經濟技術開發區
xīn xíng gōng néng cái liào chǎn yè yuán	新型功能材料產業園
xìn yí shì guó yíng hóng qí nóng chǎng	信宜市國營紅旗農場
xīng dū jīng jì kāi fā shì yàn qū	星都經濟開發試驗區
xīng fā miáo zú yí zú huí zú xiāng	興發苗族彝族回族鄉
xīng xiàn jīng jì jì shù kāi fā qū	興縣經濟技術開發區
xǔ chāng jīng jì jì shù kāi fā qū	許昌經濟技術開發區
xú zhōu jīng jì jì shù kāi fā qū	徐州經濟技術開發區
xún diān huí zú yí zú zì zhì xiàn	尋甸回族彝族自治縣
xùn liáo bīn hǎi lǚ yóu dù jià qū	巺寮濱海旅遊度假區
yà màn sū kē ěr kè zī zú xiāng	亞曼蘇柯爾克孜族鄉
yá zhōu qū zhí xiá cūn jí qū huà	崖州區直轄村級區劃
yán biān xīn xīng gōng yè jí zhōng qū	延邊新興工業集中區
yán chéng jīng jì jì shù kāi fā qū	鹽城經濟技術開發區
yán jiāng mǎn zú dá wò ěr zú xiāng	沿江滿族達斡爾族鄉
yán líng xiàn táo yuán dòng guǎn lǐ jú	炎陵縣桃源洞管理局
yán shān xiàn guó yíng sēn lín miáo pǔ	鉛山縣國營森林苗圃
yān tái jīng jì jì shù kāi fā qū	煙台經濟技術開發區
yáng jiā ào miáo zú tǔ jiā zú xiāng	楊家坳苗族土家族鄉
yáng méi yí zú miáo zú huí zú xiāng	楊梅彝族苗族回族鄉
yāng tǎ kù dōu piàn qū guǎn wěi huì	央塔庫都片區管委會
yáng zhōu jīng jì jì shù kāi fā qū	揚州經濟技術開發區
yī kè wū tú bù lā gé mù chǎng	伊克烏圖布拉格牧場
yì yáng shì dà tōng hú guǎn lǐ qū	益陽市大通湖管理區
yīn dǐ yí zú miáo zú bái zú xiāng	陰底彝族苗族白族鄉
yíng pán miáo zú yí zú bái zú xiāng	營盤苗族彝族白族鄉
yǒng zhōu jīng jì jì shù kāi fā qū	永州經濟技術開發區
yǒng zhōu shì huí lóng xū guǎn lǐ qū	永州市回龍圩管理區
yōu xiàn wǎng lǐng xún huán jīng jì yuán	攸縣網嶺循環經濟園
yuán píng jīng jì jì shù kāi fā qū	原平經濟技術開發區
yuán qū xiàn shè qū fú wù zhōng xīn	垣曲縣社區服務中心
yùn chéng jīng jì jì shù kāi fā qū	運城經濟技術開發區
yún fú shì guó yǒu shuǐ tái lín chǎng	雲浮市國有水臺林場
yún nán shěng huā huì shì fàn yuán qū	雲南省花卉示範園區
zhāng jiā gǎng shì yě jīn gōng yè yuán	張家港市冶金工業園
zhāng jiā kǒu shì chá běi guǎn lǐ qū	張家口市察北管理區
zhāng jiā kǒu shì sài běi guǎn lǐ qū	張家口市塞北管理區
zhāng yè jīng jì jì shù kāi fā qū	張掖經濟技術開發區
zhǎng zǐ jīng jì jì shù kāi fā qū	長子經濟技術開發區
zhào ān jīn dū gōng yè jí zhōng qū	詔安金都工業集中區
zhèng zhōu jīng jì jì shù kāi fā qū	鄭州經濟技術開發區
zhèng zhōu qǔ liáng chǎn yè jí jù qū	鄭州曲梁產業集聚區
zhōng fǎ wǔ hàn shēng tài shì fàn chéng	中法武漢生態示範城
zhōng xiáng shì guān zhuāng hú guǎn lǐ qū	鍾祥市官莊湖管理區
zhū rú shān jiē dào chéng gōng piàn qū	侏儒山街道成功片區
zhū rú shān jiē dào hóng běi piàn qū	侏儒山街道洪北片區
ā kè sāi hā sà kè zú zì zhì xiàn	阿克塞哈薩克族自治縣
ā lè tài dì qū kě kě dá lā shì	阿勒泰地區可克達拉市
ā lè tài dì qū tú mù shū kè shì	阿勒泰地區圖木舒克市
ān huī shěng guó yíng shí zì pù chá chǎng	安徽省國營十字鋪茶場
ān huī shěng jiāng běi chǎn yè jí zhōng qū	安徽省江北產業集中區
ān shān shì xiù yán mǎn zú zì zhì xiàn	鞍山市岫岩滿族自治縣
áo lǔ gǔ yǎ è wēn kè mín zú xiāng	敖魯古雅鄂溫克民族鄉
ào mén tè bié xíng zhèng qū dà táng qū	澳門特別行政區大堂區
ào mén tè bié xíng zhèng qū lù dàng chéng	澳門特別行政區路氹城
bā ěr lǔ kè shān tǎ sī tè lín chǎng	巴爾魯克山塔斯特林場
bā yàn nào ěr shì wù lā tè hòu qí	巴彥淖爾市烏拉特後旗
bā yàn nào ěr shì wù lā tè qián qí	巴彥淖爾市烏拉特前旗
bā yàn nào ěr shì wù lā tè zhōng qí	巴彥淖爾市烏拉特中旗
bā yàn tǎ lā dá wò ěr mín zú xiāng	巴彥塔拉達斡爾民族鄉
bǎi sè shì lóng lín gè zú zì zhì xiàn	百色市隆林各族自治縣
bái yáng píng lín yè kāi fā guǎn lǐ qū	白楊坪林業開發管理區
bái yín nà è lún chūn zú mín zú xiāng	白銀納鄂倫春族民族鄉
běi dà jiē zōng hé zhì lǐ bàn gōng shì	北大街綜合治理辦公室
běn xī shì běn xī mǎn zú zì zhì xiàn	本溪市本溪滿族自治縣
běn xī shì huán rén mǎn zú zì zhì xiàn	本溪市桓仁滿族自治縣
bèng bù shì gāo xīn jì shù kāi fā qū	蚌埠市高新技術開發區
bīng tuán nóng liù shī běi tǎ shān mù chǎng	兵團農六師北塔山牧場
bīng tuán nóng liù shī tǔ dūn zi nóng chǎng	兵團農六師土墩子農場
bīng tuán nóng shí èr shī yī líng sì tuán	兵團農十二師一零四團
bù xíng jiē zōng hé zhì lǐ bàn gōng shì	步行街綜合治理辦公室
cāng zhōu shì mèng cūn huí zú zì zhì xiàn	滄州市孟村回族自治縣
cáo hé jīng xīn xīng jì shù kāi fā qū	漕河涇新興技術開發區
chá diàn bù yī zú miáo zú yí zú xiāng	茶店布依族苗族彝族鄉
chái hé lín jī chǎng jiē dào bàn shì chù	柴河林機廠街道辦事處
chāng jí huí zú zì zhì zhōu chāng jí shì	昌吉回族自治州昌吉市
chāng jí huí zú zì zhì zhōu fù kāng shì	昌吉回族自治州阜康市
chāng jí huí zú zì zhì zhōu qí tái xiàn	昌吉回族自治州奇台縣
chéng dé shì fēng níng mǎn zú zì zhì xiàn	承德市豐寧滿族自治縣
chéng dé shì kuān chéng mǎn zú zì zhì xiàn	承德市寬城滿族自治縣
chǔ xióng yí zú zì zhì zhōu chǔ xióng shì	楚雄彝族自治州楚雄市
chǔ xióng yí zú zì zhì zhōu dà yáo xiàn	楚雄彝族自治州大姚縣
chǔ xióng yí zú zì zhì zhōu lù fēng shì	楚雄彝族自治州祿豐市
chǔ xióng yí zú zì zhì zhōu móu dìng xiàn	楚雄彝族自治州牟定縣
chǔ xióng yí zú zì zhì zhōu nán huá xiàn	楚雄彝族自治州南華縣
chǔ xióng yí zú zì zhì zhōu shuāng bǎi xiàn	楚雄彝族自治州雙柏縣
chǔ xióng yí zú zì zhì zhōu wǔ dìng xiàn	楚雄彝族自治州武定縣
chǔ xióng yí zú zì zhì zhōu yáo ān xiàn	楚雄彝族自治州姚安縣
chǔ xióng yí zú zì zhì zhōu yǒng rén xiàn	楚雄彝族自治州永仁縣
chǔ xióng yí zú zì zhì zhōu yuán móu xiàn	楚雄彝族自治州元謀縣
chú zhōu gāo jiào kē chuàng chéng guǎn wěi huì	滁州高教科創城管委會
chú zhōu shì jīng jì jì shù kāi fā qū	滁州市經濟技術開發區
dà lǐ bái zú zì zhì zhōu bīn chuān xiàn	大理白族自治州賓川縣
dà lǐ bái zú zì zhì zhōu dà lǐ shì	大理白族自治州大理市
dà lǐ bái zú zì zhì zhōu ěr yuán xiàn	大理白族自治州洱源縣
dà lǐ bái zú zì zhì zhōu hè qìng xiàn	大理白族自治州鶴慶縣
dà lǐ bái zú zì zhì zhōu jiàn chuān xiàn	大理白族自治州劍川縣
dà lǐ bái zú zì zhì zhōu mí dù xiàn	大理白族自治州彌渡縣
dà lǐ bái zú zì zhì zhōu xiáng yún xiàn	大理白族自治州祥雲縣
dà lǐ bái zú zì zhì zhōu yǒng píng xiàn	大理白族自治州永平縣
dà lǐ bái zú zì zhì zhōu yún lóng xiàn	大理白族自治州雲龍縣
dà píng dòng zú tǔ jiā zú miáo zú xiāng	大坪侗族土家族苗族鄉
dà shuǐ yí zú miáo zú bù yī zú xiāng	大水彝族苗族布依族鄉
dà tián yí zú miáo zú bù yī zú xiāng	大田彝族苗族布依族鄉
dān dōng shì kuān diān mǎn zú zì zhì xiàn	丹東市寬甸滿族自治縣
dān zhōu shì bái shā lí zú zì zhì xiàn	儋州市白沙黎族自治縣
dān zhōu shì chāng jiāng lí zú zì zhì xiàn	儋州市昌江黎族自治縣
dān zhōu shì lè dōng lí zú zì zhì xiàn	儋州市樂東黎族自治縣
dān zhōu shì líng shuǐ lí zú zì zhì xiàn	儋州市陵水黎族自治縣
dào guàn hé fēng jǐng lǚ yóu guǎn lǐ chù	道觀河風景旅遊管理處
dào zhēn gē lǎo zú miáo zú zì zhì xiàn	道真仡佬族苗族自治縣
dé hóng dǎi zú jǐng pō zú zì zhì zhōu	德宏傣族景頗族自治州
dé lì qí ěr è wēn kè mín zú xiāng	得力其爾鄂溫克民族鄉
dé wài lǐ dōu rú kè hā sà kè xiāng	德外裏都如克哈薩克鄉
dí qìng zàng zú zì zhì zhōu dé qīn xiàn	迪慶藏族自治州德欽縣
dōng lì qū jīng jì jì shù kāi fā qū	東麗區經濟技術開發區
dōng tài hú shēng tài lǚ yóu dù jià qū	東太湖生態旅遊度假區
dù ěr bó tè měng gǔ zú zì zhì xiàn	杜爾伯特蒙古族自治縣
è ěr duō sī kōng gǎng wù liú yuán qū	鄂爾多斯空港物流園區
è ěr duō sī shì è tuō kè qián qí	鄂爾多斯市鄂托克前旗
è ěr duō sī shì shēng tài shì fàn qū	鄂爾多斯市生態示範區
è ěr duō sī shì yī jīn huò luò qí	鄂爾多斯市伊金霍洛旗
é mǎ lè guō léng měng gǔ mín zú xiāng	額瑪勒郭楞蒙古民族鄉
ēn shī dà xiá gǔ fēng jǐng guǎn lǐ chù	恩施大峽谷風景管理處
ēn shī tǔ jiā zú miáo zú zì zhì zhōu	恩施土家族苗族自治州
fó bǎo shān shēng tài zōng hé kāi fā qū	佛寶山生態綜合開發區
fù jǐn shì guó yíng guǒ shù shì fàn chǎng	富錦市國營果樹示範場
fǔ shùn shì qīng yuán mǎn zú zì zhì xiàn	撫順市清原滿族自治縣
fǔ shùn shì xīn bīn mǎn zú zì zhì xiàn	撫順市新賓滿族自治縣
gān nán zàng zú zì zhì zhōu dié bù xiàn	甘南藏族自治州迭部縣
gān nán zàng zú zì zhì zhōu hé zuò shì	甘南藏族自治州合作市
gān nán zàng zú zì zhì zhōu lín tán xiàn	甘南藏族自治州臨潭縣
gān nán zàng zú zì zhì zhōu lù qū xiàn	甘南藏族自治州碌曲縣
gān nán zàng zú zì zhì zhōu mǎ qū xiàn	甘南藏族自治州瑪曲縣
gān nán zàng zú zì zhì zhōu xià hé xiàn	甘南藏族自治州夏河縣
gān nán zàng zú zì zhì zhōu zhōu qū xiàn	甘南藏族自治州舟曲縣
gān nán zàng zú zì zhì zhōu zhuó ní xiàn	甘南藏族自治州卓尼縣
gān sù shěng gān nán zàng zú zì zhì zhōu	甘肅省甘南藏族自治州
gān sù shěng lín xià huí zú zì zhì zhōu	甘肅省臨夏回族自治州
gān zī zàng zú zì zhì zhōu bā táng xiàn	甘孜藏族自治州巴塘縣
gān zī zàng zú zì zhì zhōu bái yù xiàn	甘孜藏族自治州白玉縣
gān zī zàng zú zì zhì zhōu dān bā xiàn	甘孜藏族自治州丹巴縣
gān zī zàng zú zì zhì zhōu dào chéng xiàn	甘孜藏族自治州稻城縣
gān zī zàng zú zì zhì zhōu dào fú xiàn	甘孜藏族自治州道孚縣
gān zī zàng zú zì zhì zhōu dé gé xiàn	甘孜藏族自治州德格縣
gān zī zàng zú zì zhì zhōu dé róng xiàn	甘孜藏族自治州得榮縣
gān zī zàng zú zì zhì zhōu gān zī xiàn	甘孜藏族自治州甘孜縣
gān zī zàng zú zì zhì zhōu jiǔ lóng xiàn	甘孜藏族自治州九龍縣
gān zī zàng zú zì zhì zhōu kāng dìng shì	甘孜藏族自治州康定市
gān zī zàng zú zì zhì zhōu lǐ táng xiàn	甘孜藏族自治州理塘縣
gān zī zàng zú zì zhì zhōu lú dìng xiàn	甘孜藏族自治州瀘定縣
gān zī zàng zú zì zhì zhōu lú huò xiàn	甘孜藏族自治州爐霍縣
gān zī zàng zú zì zhì zhōu sè dá xiàn	甘孜藏族自治州色達縣
gān zī zàng zú zì zhì zhōu shí qú xiàn	甘孜藏族自治州石渠縣
gān zī zàng zú zì zhì zhōu xiāng chéng xiàn	甘孜藏族自治州鄉城縣
gān zī zàng zú zì zhì zhōu xīn lóng xiàn	甘孜藏族自治州新龍縣
gān zī zàng zú zì zhì zhōu yǎ jiāng xiàn	甘孜藏族自治州雅江縣
gāo xīn qū gāo xīn jì shù chǎn yè yuán	高新區高新技術產業園
gòng shān dú lóng zú nù zú zì zhì xiàn	貢山獨龍族怒族自治縣
guān hé dòng zú tǔ jiā zú miáo zú xiāng	官和侗族土家族苗族鄉
guān lǐng bù yī zú miáo zú zì zhì xiàn	關嶺布依族苗族自治縣
guǎng xī zhuàng zú zì zhì qū bǎi sè shì	廣西壯族自治區百色市
guǎng xī zhuàng zú zì zhì qū běi hǎi shì	廣西壯族自治區北海市
guǎng xī zhuàng zú zì zhì qū chóng zuǒ shì	廣西壯族自治區崇左市
guǎng xī zhuàng zú zì zhì qū guì gǎng shì	廣西壯族自治區貴港市
guǎng xī zhuàng zú zì zhì qū guì lín shì	廣西壯族自治區桂林市
guǎng xī zhuàng zú zì zhì qū hé chí shì	廣西壯族自治區河池市
guǎng xī zhuàng zú zì zhì qū hè zhōu shì	廣西壯族自治區賀州市
guǎng xī zhuàng zú zì zhì qū lái bīn shì	廣西壯族自治區來賓市
guǎng xī zhuàng zú zì zhì qū liǔ zhōu shì	廣西壯族自治區柳州市
guǎng xī zhuàng zú zì zhì qū nán níng shì	廣西壯族自治區南寧市
guǎng xī zhuàng zú zì zhì qū qīn zhōu shì	廣西壯族自治區欽州市
guǎng xī zhuàng zú zì zhì qū wú zhōu shì	廣西壯族自治區梧州市
guǎng xī zhuàng zú zì zhì qū yù lín shì	廣西壯族自治區玉林市
guì lín shì gōng chéng yáo zú zì zhì xiàn	桂林市恭城瑤族自治縣
guì lín shì lóng shèng gè zú zì zhì xiàn	桂林市龍勝各族自治縣
guǒ luò zàng zú zì zhì zhōu bān mǎ xiàn	果洛藏族自治州班瑪縣
