zì jǐ dǎ de	自己打的
zǎo shóu ba	早熟吧
zǎo shóu de	早熟的
zǎo shóu hé	早熟禾
zǎo shóu lí	早熟梨
zǎo shóu xìng	早熟性
zhè me shóu	这么熟
zhēn bù shóu	真不熟
zhēng bù shóu	蒸不熟
zhēng shóu de	蒸熟的
zhēng shóu hòu	蒸熟后
zhēng shóu le	蒸熟了
zhōng wǎn shóu	中晚熟
zhōng zǎo shóu	中早熟
zhǔ bù shóu	煮不熟
zhǔ shóu hòu	煮熟后
zhǔ shóu le	煮熟了
zhǔ shóu shí	煮熟时
zhuāng chéng shóu	装成熟
zì lái shóu	自来熟
zì rán shóu	自然熟
zuì chéng shóu	最成熟
zuì shóu de	最熟的
zuì shóu xī	最熟悉
zuò shóu le	做熟了
ài shéi	爱谁
bǎ shéi	把谁
bāng shéi	帮谁
bèi shéi	被谁
bǐ shéi	比谁
chī shéi	吃谁
dǎ shéi	打谁
dài shéi	带谁
dào shéi	到谁
děng shéi	等谁
duì shéi	对谁
fàng shéi	放谁
fú shéi	服谁
gāi shéi	该谁
gěi shéi	给谁
gēn shéi	跟谁
guài shéi	怪谁
guī shéi	归谁
hé shéi	和谁
hèn shéi	恨谁
huàn shéi	换谁
jiàn shéi	见谁
jiào shéi	叫谁
kàn shéi	看谁
kào shéi	靠谁
kě shéi	可谁
kēng shéi	坑谁
lài shéi	赖谁
mà shéi	骂谁
méi shéi	没谁
méng shéi	蒙谁
nà shéi	那谁
pà shéi	怕谁
péi shéi	陪谁
qǔ shéi	娶谁
ràng shéi	让谁
rě shéi	惹谁
rèn shéi	任谁
shì shéi	是谁
shéi a	谁啊
shéi bǎ	谁把
shéi bù	谁不
shéi céng	谁曾
shéi chī	谁吃
shéi chū	谁出
shéi cuò	谁错
shéi dài	谁带
shéi dāng	谁当
shéi de	谁的
shéi děng	谁等
shéi dìng	谁定
shéi dǒng	谁懂
shéi dōu	谁都
shéi duì	谁对
shéi fù	谁负
shéi gǎi	谁改
shéi gǎn	谁敢
shéi gàn	谁干
shéi gāo	谁高
shéi gěi	谁给
shéi gēn	谁跟
shéi guǎn	谁管
shéi hái	谁还
shéi hǎn	谁喊
shéi hǎo	谁好
shéi huài	谁坏
shéi huì	谁会
shéi jiā	谁家
shéi jiāng	谁将
shéi jiào	谁叫
shéi jiào	谁教
shéi jiē	谁接
shéi jiù	谁就
shéi kāi	谁开
shéi kàn	谁看
shéi kěn	谁肯
shéi kuài	谁快
shéi lái	谁来
shéi liào	谁料
shéi mǎi	谁买
shéi mài	谁卖
shéi ná	谁拿
shéi ne	谁呢
shéi néng	谁能
shéi ó	谁哦
shéi pà	谁怕
shéi qù	谁去
shéi ràng	谁让
shéi rén	谁人
shéi shǎ	谁傻
shéi shàng	谁上
shéi shì	谁是
shéi shū	谁输
shéi shéi	谁谁
shéi shuō	谁说
shéi sòng	谁送
shéi wán	谁玩
shéi wèn	谁问
shéi wú	谁无
shéi xiān	谁先
shéi xiǎng	谁想
shéi xìn	谁信
shéi xuǎn	谁选
shéi ya	谁呀
shéi yǎn	谁演
shéi yǎng	谁养
shéi yào	谁要
shéi yě	谁也
shéi yíng	谁赢
shéi yòng	谁用
shéi yǒu	谁有
shéi yòu	谁又
shéi yǔ	谁与
shéi zài	谁在
shéi zài	谁再
shéi zhēn	谁真
shéi zhī	谁知
shéi zuì	谁最
shéi zuò	谁做
shuō shéi	说谁
sòng shéi	送谁
tiāo shéi	挑谁
tīng shéi	听谁
wéi shéi	为谁
wèn shéi	问谁
xiàng shéi	向谁
xiàng shéi	像谁
xiào shéi	笑谁
xuǎn shéi	选谁
yòng shéi	用谁
yǒu shéi	有谁
yóu shéi	由谁
yǔ shéi	与谁
yuàn shéi	怨谁
zhǎo shéi	找谁
zhāo shéi	招谁
zhè shéi	这谁
zhǐ shéi	指谁
zhuī shéi	追谁
a yǒu shéi	啊有谁
ài guò shéi	爱过谁
ài kàn shéi	爱看谁
ài shàng shéi	爱上谁
ài shéi a	爱谁啊
ài shéi shéi	爱谁谁
ài zhe shéi	爱着谁
bǎ shéi shéi	把谁谁
bāng zhù shéi	帮助谁
bǐ shéi chà	比谁差
bǐ shéi dōu	比谁都
bú dào shéi	不到谁
bù guǎn shéi	不管谁
bú guò shéi	不过谁
bù néng shéi	不能谁
bú shì shéi	不是谁
bù wéi shéi	不为谁
bù zhī shéi	不知谁
bù zhǔn shéi	不准谁
cāi cāi shéi	猜猜谁
chuán gěi shéi	传给谁
dǎ gěi shéi	打给谁
dài biǎo shéi	代表谁
dàn shéi yě	但谁也
dào dǐ shéi	到底谁
dào shéi le	到谁了
diē shì shéi	爹是谁
dōu shì shéi	都是谁
dōu shéi a	都谁啊
dōu yǒu shéi	都有谁
duì shéi dōu	对谁都
duì shéi shuō	对谁说
fā gěi shéi	发给谁
fàng dào shéi	放到谁
fēn gěi shéi	分给谁
fēn gēn shéi	分跟谁
fú chí shéi	扶持谁
fù gěi shéi	付给谁
gāi gěi shéi	该给谁
gāi guài shéi	该怪谁
gāi guī shéi	该归谁
gāi shì shéi	该是谁
gāi shéi chū	该谁出
gāi xìn shéi	该信谁
gāi xuǎn shéi	该选谁
gāi yóu shéi	该由谁
gāi zhǎo shéi	该找谁
gàn diào shéi	干掉谁
gào sù shéi	告诉谁
gěi shéi a	给谁啊
gěi shéi le	给谁了
gěi shéi mǎi	给谁买
gěi shéi shuō	给谁说
gēn shéi a	跟谁啊
gēn shéi dǎ	跟谁打
gēn shéi dōu	跟谁都
gēn shéi guò	跟谁过
gēn shéi jí	跟谁急
gēn shéi qù	跟谁去
gēn shéi shuì	跟谁睡
gēn shéi tán	跟谁谈
gēn shéi wán	跟谁玩
gēn shéi xìng	跟谁姓
gēn shéi yě	跟谁也
gēn shéi zǒu	跟谁走
gēn zhe shéi	跟着谁
gèng xiàng shéi	更像谁
gōu yǐn shéi	勾引谁
guān yú shéi	关于谁
guī shéi guǎn	归谁管
hái shì shéi	还是谁
hái yǒu shéi	还有谁
hé nà shéi	和那谁
hé shéi a	和谁啊
hé shéi jiā	和谁家
hé shéi le	和谁了
hé shéi qù	和谁去
hé shéi shuō	和谁说
huái yí shéi	怀疑谁
huán gěi shéi	还给谁
huì shì shéi	会是谁
huì xuǎn shéi	会选谁
huì yǒu shéi	会有谁
jǐ gè shéi	几个谁
jì gěi shéi	寄给谁
jià gěi shéi	嫁给谁
jiàn dào shéi	见到谁
jiàn guò shéi	见过谁
jiàn le shéi	见了谁
jiāo gěi shéi	交给谁
jiè shì shéi	介是谁
jiū jìng shéi	究竟谁
jiù kàn shéi	就看谁
jiù shì shéi	就是谁
kàn dào shéi	看到谁
kàn hǎo shéi	看好谁
kàn jiàn shéi	看见谁
kàn kàn shéi	看看谁
kàn shàng shéi	看上谁
kàn shì shéi	看是谁
kàn shéi kuài	看谁快
kě shéi céng	可谁曾
kě shéi xiǎng	可谁想
kě shéi yǒu	可谁有
kě shéi zhī	可谁知
kēng shéi ne	坑谁呢
lí kāi shéi	离开谁
lián xì shéi	联系谁
liú gěi shéi	留给谁
lún dào shéi	轮到谁
luò shéi jiā	落谁家
mǎi de shéi	买的谁
méi shéi le	没谁了
méi yǒu shéi	没有谁
mó fǎng shéi	模仿谁
nà gè shéi	那个谁
nà shì shéi	那是谁
nà shéi shéi	那谁谁
nèi xiǎo shéi	内小谁
néng guài shéi	能怪谁
néng yǒu shéi	能有谁
nǐ ài shéi	你爱谁
nǐ gēn shéi	你跟谁
nǐ hé shéi	你和谁
nǐ jiù shéi	你救谁
nǐ kàn shéi	你看谁
nǐ liǎ shéi	你俩谁
nǐ mà shéi	你骂谁
nǐ shì shéi	你是谁
nǐ shéi a	你谁啊
nǐ shéi lái	你谁来
nǐ shéi ya	你谁呀
nǐ shéi yě	你谁也
nǐ shuō shéi	你说谁
nǐ tīng shéi	你听谁
nǐ wèn shéi	你问谁
nǐ xuǎn shéi	你选谁
nǐ zhàn shéi	你站谁
nǐ zhǎo shéi	你找谁
nín shì shéi	您是谁
nòng sǐ shéi	弄死谁
pà guò shéi	怕过谁
piàn shéi ne	骗谁呢
piān xiàng shéi	偏向谁
píng shéi wèn	凭谁问
qī fù shéi	欺负谁
qì sǐ shéi	气死谁
qǔ dài shéi	取代谁
qù shéi jiā	去谁家
ráo guò shéi	饶过谁
rě le shéi	惹了谁
rě shéi le	惹谁了
rén shì shéi	人是谁
rèn shi shéi	认识谁
rèn shéi dōu	任谁都
rèn shéi kàn	任谁看
rén wèn shéi	人问谁
shā le shéi	杀了谁
shì gè shéi	是个谁
shì hé shéi	适合谁
shì shéi a	是谁啊
shì shéi ba	是谁吧
shì shéi de	是谁的
shì shéi jiā	是谁家
shì shéi jiào	是谁教
shì shéi lái	是谁来
shì shéi le	是谁了
shì shéi ma	是谁吗
shì shéi ne	是谁呢
shì shéi ràng	是谁让
shì shéi rén	是谁人
shì shéi tōu	是谁偷
shì shéi xiān	是谁先
shì shéi ya	是谁呀
shì shéi yě	是谁也
shì shéi zài	是谁在
shǔ yú shéi	属于谁
shéi ài nǐ	谁爱你
shéi ài shéi	谁爱谁
shéi ài wǒ	谁爱我
shéi bǎ nǐ	谁把你
shéi bà qì	谁霸气
shéi bàn wǒ	谁伴我
shéi bāng nǐ	谁帮你
shéi bāng shéi	谁帮谁
shéi bāng wǒ	谁帮我
shéi bǎo hù	谁保护
shéi bèi guō	谁背锅
shéi bǐ hé	谁比和
shéi bǐ jiào	谁比较
shéi bú ài	谁不爱
shéi bù céng	谁不曾
shéi bù dǒng	谁不懂
shéi bú duì	谁不对
shéi bù fú	谁不服
shéi bù hǎo	谁不好
shéi bú huì	谁不会
shéi bù lái	谁不来
shéi bú pà	谁不怕
shéi bú qù	谁不去
shéi bú shì	谁不是
shéi bù shuō	谁不说
shéi bù xiǎng	谁不想
shéi bú xìn	谁不信
shéi bù xíng	谁不行
shéi bú yào	谁不要
shéi bú yuàn	谁不愿
shéi bú zài	谁不在
shéi bù zhī	谁不知
shéi cái shì	谁才是
shéi céng jiàn	谁曾见
shéi céng xiǎng	谁曾想
shéi chàng de	谁唱的
shéi chàng gē	谁唱歌
shéi chéng dān	谁承担
shéi chéng xiǎng	谁承想
shéi chī kuī	谁吃亏
shéi chī shéi	谁吃谁
shéi chū de	谁出的
shéi chū guǐ	谁出轨
shéi chū lái	谁出来
shéi chū qián	谁出钱
shéi chū qù	谁出去
shéi chū zī	谁出资
shéi cōng míng	谁聪明
shéi cuò le	谁错了
shéi dǎ de	谁打的
shéi dǎ nǐ	谁打你
shéi dǎ shéi	谁打谁
shéi dǎ wǒ	谁打我
shéi dài lái	谁带来
shéi dài nǐ	谁带你
shéi dài wǒ	谁带我
shéi dài zǒu	谁带走
shéi dān zé	谁担责
shéi dāng jiā	谁当家
shéi dào le	谁到了
shéi dǎo méi	谁倒霉
shéi de a	谁的啊
shéi de ài	谁的爱
shéi de chē	谁的车
shéi de cuò	谁的错
shéi de dà	谁的大
shéi de gē	谁的歌
shéi de guāng	谁的光
shéi de guō	谁的锅
shéi de hào	谁的号
shéi de huà	谁的话
shéi de jiā	谁的家
shéi de jiǎo	谁的脚
shéi de le	谁的了
shéi de liǎn	谁的脸
shéi de mèng	谁的梦
shéi de qián	谁的钱
shéi de qún	谁的群
shéi de rén	谁的人
shéi de shì	谁的事
shéi de shǒu	谁的手
shéi de shéi	谁的谁
shéi de xīn	谁的心
shéi de ya	谁的呀
shéi de yǎn	谁的眼
shéi dì yī	谁第一
shéi diào de	谁掉的
shéi dìng de	谁订的
shéi dǒng a	谁懂啊
shéi dǒng de	谁懂得
shéi dòng le	谁动了
shéi dǒng wǒ	谁懂我
shéi dōu ài	谁都爱
shéi dōu bù	谁都不
shéi dōu dǒng	谁都懂
shéi dōu huì	谁都会
shéi dōu néng	谁都能
shéi dōu pà	谁都怕
shéi dōu qù	谁都去
shéi dōu shì	谁都是
shéi dōu xiǎng	谁都想
shéi dōu xíng	谁都行
shéi dōu yǒu	谁都有
shéi dōu zài	谁都在
shéi duì shéi	谁对谁
shéi ér zi	谁儿子
shéi fā de	谁发的
shéi fā míng	谁发明
shéi fā xiàn	谁发现
shéi fàng zài	谁放在
shéi fù fèi	谁付费
shéi fù qián	谁付钱
shéi fú wù	谁服务
shéi fù zé	谁负责
shéi gǎi de	谁改的
shéi gǎn bǎ	谁敢把
shéi gǎn bù	谁敢不
shéi gàn de	谁干的
shéi gān jìng	谁干净
shéi gǎn lán	谁敢拦
shéi gǎn qǔ	谁敢娶
shéi gǎn rě	谁敢惹
shéi gǎn shàng	谁敢上
shéi gào sù	谁告诉
shéi gāo xìng	谁高兴
shéi gěi le	谁给了
shéi gěi nǐ	谁给你
shéi gěi shéi	谁给谁
shéi gěi shuō	谁给说
shéi gěi wǒ	谁给我
shéi gěi zán	谁给咱
shéi gēn nǐ	谁跟你
shéi gēn shéi	谁跟谁
shéi gēn tā	谁跟他
shéi gēn wǒ	谁跟我
shéi gèng	谁更
shéi gèng ài	谁更爱
shéi gèng cǎn	谁更惨
shéi gèng dà	谁更大
shéi gèng hǎo	谁更好
shéi gèng hěn	谁更狠
shéi gèng hóng	谁更红
shéi gèng kuài	谁更快
shéi gèng měi	谁更美
shéi gèng niú	谁更牛
shéi gèng qiáng	谁更强
shéi gèng shuài	谁更帅
shéi gèng xiàng	谁更像
shéi gōng kāi	谁公开
shéi gòng wǒ	谁共我
shéi guǎn lǐ	谁管理
shéi guǎn nǐ	谁管你
shéi guǎn qián	谁管钱
shéi guǎn tā	谁管他
shéi guī dìng	谁规定
shéi guò lái	谁过来
shéi hái gǎn	谁还敢
shéi hái guǎn	谁还管
shéi hái huì	谁还会
shéi hái méi	谁还没
shéi hái néng	谁还能
shéi hài pà	谁害怕
shéi hái qù	谁还去
shéi hái yào	谁还要
shéi hái yòng	谁还用
shéi hái yǒu	谁还有
shéi hái zài	谁还在
shéi hǎo kàn	谁好看
shéi hǎo xiàng	谁好像
shéi hé nǐ	谁和你
shéi hé wǒ	谁和我
shéi huà de	谁画的
shéi huā qián	谁花钱
shéi huì de	谁会得
shéi huì gēn	谁会跟
shéi huì lái	谁会来
shéi huí lái	谁回来
shéi huì mǎi	谁会买
shéi huì qù	谁会去
shéi huì xiǎng	谁会想
shéi huì xìn	谁会信
shéi jì de	谁记得
shéi jiā lǐ	谁家里
shéi jiā qù	谁家去
shéi jiā yǒu	谁家有
shéi jiā zuò	谁家做
shéi jiàn de	谁建的
shéi jiān guǎn	谁监管
shéi jiàn guò	谁见过
shéi jiàn le	谁见了
shéi jiǎng de	谁讲的
shéi jiào de	谁教的
shéi jiào nǐ	谁叫你
shéi jiào nǐ	谁教你
shéi jiào tā	谁叫他
shéi jiào tā	谁教他
shéi jiào wǒ	谁叫我
shéi jiào wǒ	谁教我
shéi jiē de	谁接的
shéi jié hūn	谁结婚
shéi jiè wǒ	谁借我
shéi jìn de	谁进的
shéi jiù néng	谁就能
shéi jiù shì	谁就是
shéi jǔ bào	谁举报
shéi jǔ zhèng	谁举证
shéi kāi chē	谁开车
shéi kāi de	谁开的
shéi kāi fā	谁开发
shéi kàn dào	谁看到
shéi kàn de	谁看的
shéi kàn guò	谁看过
shéi kàn le	谁看了
shéi kàn nǐ	谁看你
shéi kàn shéi	谁看谁
shéi kě bǐ	谁可比
shéi kě yǐ	谁可以
shéi kēng shéi	谁坑谁
shéi lái bāng	谁来帮
shéi lái chū	谁来出
shéi lái dǎ	谁来打
shéi lái dài	谁来带
shéi lái de	谁来的
shéi lái fú	谁来扶
shéi lái gàn	谁来干
shéi lái guǎn	谁来管
shéi lái jiǎng	谁来讲
shéi lái jiào	谁来教
shéi lái jiē	谁来接
shéi lái kàn	谁来看
shéi lái le	谁来了
shéi lái mǎi	谁来买
shéi lái péi	谁来赔
shéi lái péi	谁来陪
shéi lái shōu	谁来收
shéi lái wèn	谁来问
shéi lái yǎn	谁来演
shéi lái yǎng	谁来养
shéi lái zhǎo	谁来找
shéi lái zhe	谁来着
shéi lái zuò	谁来做
shéi le me	谁了么
shéi le ne	谁了呢
shéi lè yì	谁乐意
shéi lì hài	谁厉害
shéi lǐ nǐ	谁理你
shéi liǎo jiě	谁了解
shéi mà shéi	谁骂谁
shéi mǎi dān	谁买单
shéi mǎi de	谁买的
shéi mǎi le	谁买了
shéi méi diǎn	谁没点
shéi méi shì	谁没事
shéi měi tiān	谁每天
shéi méi yǒu	谁没有
shéi míng bái	谁明白
shéi ná de	谁拿的
shéi nǎ gè	谁哪个
shéi ná le	谁拿了
shéi néng bǎ	谁能把
shéi néng bǎo	谁能保
shéi néng bǐ	谁能比
shéi néng chī	谁能吃
shéi néng dài	谁能带
shéi néng dí	谁能敌
shéi néng dǒng	谁能懂
shéi néng gàn	谁能干
shéi néng gěi	谁能给
shéi néng guǎn	谁能管
shéi néng jí	谁能及
shéi néng jì	谁能记
shéi néng jiē	谁能接
shéi néng shuō	谁能说
shéi néng xiàng	谁能向
shéi néng zhī	谁能知
shéi néng zuò	谁能做
shéi ní mǎ	谁尼玛
shéi pà shéi	谁怕谁
shéi pāi de	谁拍的
shéi pái de	谁排的
shéi péi nǐ	谁陪你
shéi péi wǒ	谁陪我
shéi pī zhǔn	谁批准
shéi piào liang	谁漂亮
shéi pò huài	谁破坏
shéi qī fù	谁欺负
shéi qiàn shéi	谁欠谁
shéi qiān zì	谁签字
shéi qīng chǔ	谁清楚
shéi qǐng kè	谁请客
shéi qù jiē	谁去接
shéi qù ne	谁去呢
shéi qǔ shéi	谁娶谁
shéi qù zuò	谁去做
shéi ràng nǐ	谁让你
shéi ràng nín	谁让您
shéi ràng shéi	谁让谁
shéi ràng tā	谁让他
shéi ràng tā	谁让她
shéi ràng wǒ	谁让我
shéi rén néng	谁人能
shéi rèn shi	谁认识
shéi rén shí	谁人识
shéi rén zhī	谁人知
shéi rēng de	谁扔的
shéi shā shéi	谁杀谁
shéi shàng bān	谁上班
shéi shěn hé	谁审核
shéi shēng bìng	谁生病
shéi shēng rì	谁生日
shéi shì diē	谁是爹
shéi shì gǒu	谁是狗
shéi shì shéi	谁是谁
shéi shì wǒ	谁是我
shéi shǐ yòng	谁使用
shéi shì zhǔ	谁是主
shéi shì zhū	谁是猪
shéi shōu cáng	谁收藏
shéi shǒu jī	谁手机
shéi shòu yì	谁受益
shéi shū le	谁输了
shéi shéi shì	谁谁是
shéi shéi shéi	谁谁谁
shéi shuō dào	谁说到
shéi shuō de	谁说的
shéi shuō guò	谁说过
shéi shuō huà	谁说话
shéi shuō huǎng	谁说谎
shéi shuō lái	谁说来
shéi shuō nǐ	谁说你
shéi shuō nǚ	谁说女
shéi shuō wǒ	谁说我
shéi sòng de	谁送的
shéi sòng wǒ	谁送我
shéi tā mā	谁他妈
shéi tāo qián	谁掏钱
shéi tí de	谁提的
shéi tí gōng	谁提供
shéi tīng shéi	谁听谁
shéi tóng yì	谁同意
shéi tǒng yī	谁统一
shéi tóu zī	谁投资
shéi wán guò	谁玩过
shéi wán shéi	谁玩谁
shéi wéi nǐ	谁为你
shéi wéi shéi	谁为谁
shéi wèi wǒ	谁为我
shéi wéi xiū	谁维修
shéi wéi zhǔ	谁为主
shéi wèn de	谁问的
shéi wū rǎn	谁污染
shéi wǔ rǔ	谁侮辱
shéi xī hǎn	谁稀罕
shéi xǐ huān	谁喜欢
shéi xǐ wǎn	谁洗碗
shéi xiān dào	谁先到
shéi xiān lái	谁先来
shéi xiān shàng	谁先上
shéi xiān shuō	谁先说
shéi xiān sǐ	谁先死
shéi xiān zǒu	谁先走
shéi xiāng bàn	谁相伴
shéi xiǎng dào	谁想到
shéi xiǎng de	谁想的
shéi xiǎng gàn	谁想干
shéi xiǎng kàn	谁想看
shéi xiǎng mǎi	谁想买
shéi xiàng nǐ	谁像你
shéi xiǎng qù	谁想去
shéi xiàng shéi	谁像谁
shéi xiāng xìn	谁相信
shéi xiǎng yào	谁想要
shéi xiǎo de	谁晓得
shéi xiě de	谁写的
shéi xìn a	谁信啊
shéi xìn dào	谁信道
shéi xìn nà	谁信呐
shéi xìn ne	谁信呢
shéi xìn ya	谁信呀
shéi xū yào	谁需要
shéi xué dé	谁学得
shéi ya wǒ	谁呀我
shéi yǎn de	谁演的
shéi yào de	谁要的
shéi yào hé	谁要和
shéi yào kàn	谁要看
shéi yào lái	谁要来
shéi yào mǎi	谁要买
shéi yào shì	谁要是
shéi yě bù	谁也不
shéi yě huì	谁也会
shéi yě méi	谁也没
shéi yě néng	谁也能
shéi yě shì	谁也是
shéi yě xiǎng	谁也想
shéi yě yǒu	谁也有
shéi yí gè	谁一个
shéi yì qǐ	谁一起
shéi yì tiān	谁一天
shéi yíng le	谁赢了
shéi yǐng xiǎng	谁影响
shéi yòng guò	谁用过
shéi yōng yǒu	谁拥有
shéi yǒu bìng	谁有病
shéi yǒu fā	谁有发
shéi yǒu kòng	谁有空
shéi yǒu lǐ	谁有理
shéi yòu néng	谁又能
shéi yǒu qián	谁有钱
shéi yǔ gòng	谁与共
shéi yǔ shéi	谁与谁
shéi yuàn yì	谁愿意
shéi yǔn xǔ	谁允许
shéi zài gǎn	谁再敢
shéi zài jiā	谁在家
shéi zài jiào	谁在叫
shéi zài kàn	谁在看
shéi zài mǎi	谁在买
shéi zài mài	谁在卖
shéi zài nà	谁在那
shéi zài shuō	谁在说
shéi zài wán	谁在玩
shéi zài xiàn	谁在线
shéi zài yì	谁在意
shéi zài yòng	谁在用
shéi zhào gù	谁照顾
shéi zhǎo nǐ	谁找你
shéi zhèng qián	谁挣钱
shéi zhí bān	谁值班
shéi zhī cǐ	谁知此
shéi zhī dào	谁知道
shéi zhí de	谁值得
shéi zhì dìng	谁制定
shéi zhí fǎ	谁执法
shéi zhī guò	谁之过
shéi zhī guò	谁知过
shéi zhì lǐ	谁治理
shéi zhī shì	谁知是
shéi zhī wǒ	谁知我
shéi zhī yǒu	谁知有
shéi zhī zé	谁之责
shéi zhòng yào	谁重要
shéi zhǔ dǎo	谁主导
shéi zhǔ dòng	谁主动
shéi zhǔ guǎn	谁主管
shéi zhǔ zhāng	谁主张
shéi zhuī shéi	谁追谁
shéi zǒu le	谁走了
shéi zǔ duì	谁组队
shéi zǔ zhī	谁组织
shéi zuì cǎn	谁最惨
shéi zuì chǒu	谁最丑
shéi zuì dà	谁最大
shéi zuì gāo	谁最高
shéi zuì hǎo	谁最好
shéi zuì hóng	谁最红
shéi zuì kuài	谁最快
shéi zuì měi	谁最美
shéi zuì néng	谁最能
shéi zuì niú	谁最牛
shéi zuì qiáng	谁最强
shéi zuì shuài	谁最帅
shéi zuò de	谁做的
shéi zuò fàn	谁做饭
shéi zuò zhǔ	谁做主
shuō de shéi	说的谁
shuō shéi de	说谁的
shuō shéi le	说谁了
shuō shéi ne	说谁呢
sī niàn shéi	思念谁
sòng gěi shéi	送给谁
suàn shéi de	算谁的
suǒ yǐ shéi	所以谁
tā shì shéi	他是谁
tā shì shéi	她是谁
táo tài shéi	淘汰谁
tǎo yàn shéi	讨厌谁
tīng shéi de	听谁的
tīng shéi shuō	听谁说
tóu gěi shéi	投给谁
tóu kào shéi	投靠谁
wàng jì shéi	忘记谁
wàng le shéi	忘了谁
wèi le shéi	为了谁
wéi shéi kāi	为谁开
wéi shéi liú	为谁留
wéi shéi luò	为谁落
wéi shéi máng	为谁忙
wéi shéi qù	为谁去
wèn shì shéi	问是谁
wèn shéi lái	问谁来
wèn shéi néng	问谁能
wèn shéi shì	问谁是
wèn shéi zài	问谁在
wèn yǒu shéi	问有谁
wǒ ài shéi	我爱谁
wǒ hé shéi	我和谁
wǒ mà shéi	我骂谁
wǒ pà shéi	我怕谁
wǒ shì shéi	我是谁
wǒ wèn shéi	我问谁
wǒ xiàng shéi	我像谁
wú lùn shéi	无论谁
xǐ huān shéi	喜欢谁
xià hu shéi	吓唬谁
xiān jiù shéi	先救谁
xiǎng qǐ shéi	想起谁
xiàng shì shéi	像是谁
xiǎng shéi de	想谁的
xiǎng shéi ne	想谁呢
xiàng shéi shuō	向谁说
xiàng shéi sù	向谁诉
xiāng xìn shéi	相信谁
xiǎng yào shéi	想要谁
xiǎng zhe shéi	想着谁
xiě gěi shéi	写给谁
xū yào shéi	需要谁
xuǎn zé shéi	选择谁
yě méi shéi	也没谁
yī kào shéi	依靠谁
yī lài shéi	依赖谁
yīn wèi shéi	因为谁
yòng shéi de	用谁的
yòu bèi shéi	又被谁
yòu shì shéi	又是谁
yǒu shéi bǎ	有谁把
yǒu shéi jiā	有谁家
yǒu shéi kàn	有谁看
yóu shéi lái	由谁来
yǒu shéi lái	有谁来
yǒu shéi lián	有谁怜
yōu shéi liè	优谁劣
yǒu shéi ne	有谁呢
yǒu shéi néng	有谁能
yòu shéi néng	又谁能
yǒu shéi shì	有谁是
yǒu shéi wèn	有谁问
yǒu shéi yě	有谁也
yǒu shéi zhī	有谁知
yòu shéi zhī	又谁知
yòu yǒu shéi	又有谁
yù dào shéi	遇到谁
yù jiàn shéi	遇见谁
yǔ shéi gòng	与谁共
yǔ shéi tóng	与谁同
zài děng shéi	在等谁
zài hé shéi	在和谁
zài hū shéi	在乎谁
zài shéi jiā	在谁家
zěn me shéi	怎么谁
zhào gù shéi	照顾谁
zhǎo shéi a	找谁啊
zhǎo shéi bāng	找谁帮
zhāo shéi le	招谁了
zhǎo shéi ya	找谁呀
zhǎo shéi zuò	找谁做
zhè shì shéi	这是谁
zhè shéi a	这谁啊
zhè shéi ya	这谁呀
zhēn duì shéi	针对谁
zhī chí shéi	支持谁
zhī dào shéi	知道谁
zhǐ wàng shéi	指望谁
zhǐ yǒu shéi	只有谁
zhuǎn gěi shéi	转给谁
zī liào shéi	资料谁
zuì hòu shéi	最后谁
ài shéi shéi ba	爱谁谁吧
àn liàn guò shéi	暗恋过谁
bái yún shéi lǚ	白云谁侣
bèi shéi pāo qì	被谁抛弃
bèi shéi shā le	被谁杀了
bèi shéi tiáo xì	被谁调戏
bǐ shéi dōu duō	比谁都多
bǐ shéi dōu kuài	比谁都快
biàn chéng le shéi	变成了谁
bù bǐ shéi ruò	不比谁弱
bù cháo xiào shéi	不嘲笑谁
bù huái yí shéi	不怀疑谁
bù zhī dào shéi	不知道谁
cāi wǒ shì shéi	猜我是谁
céng gòng shéi yǐ	曾共谁倚
chàng gěi shéi tīng	唱给谁听
chū zì shéi shǒu	出自谁手
cǐ hèn shéi zhī	此恨谁知
cǐ qíng shéi huì	此情谁会
cǐ qíng shéi tuō	此情谁托
dǎi shéi yǎo shéi	逮谁咬谁
dàn shéi céng xiǎng	但谁曾想
dāng nián shéi zhǒng	当年谁种
dàng shì shéi ne	当是谁呢
dào dǐ tóu shéi	到底投谁
de nǐ hé shéi	的你和谁
dé zuì le shéi	得罪了谁
dōu shéi néng lái	都谁能来
dōu shéi zài a	都谁在啊
dōu yǒu shéi le	都有谁了
dōu yǒu shéi qù	都有谁去
dōu yǒu shéi zài	都有谁在
dōu yǒu xiē shéi	都有些谁
duì bù qǐ shéi	对不起谁
duì shéi dōu hǎo	对谁都好
é méi shéi dù	蛾眉谁妒
fā gěi shéi le	发给谁了
fān shéi pái zi	翻谁牌子
fēi bàng shéi jiā	飞傍谁家
fēi shéi bù kě	非谁不可
fēi xiàng shéi jiā	飞向谁家
fēn bù chū shéi	分不出谁
fēn fù tā shéi	分付他谁
fū shéi wèi jù	夫谁畏惧
gāi guī shéi guǎn	该归谁管
gāi xiāng xìn shéi	该相信谁
gěi bié rén shéi	给别人谁
gěi shéi kàn ne	给谁看呢
gěi shéi mǎi ne	给谁买呢
gēn shéi dǔ qì	跟谁赌气
gēn shéi liǎ ne	跟谁俩呢
gēn shéi liáo ne	跟谁聊呢
gēn shéi yǒu chóu	跟谁有仇
gēng wéi shéi xiū	更为谁羞
gèng xǐ huān shéi	更喜欢谁
